Distance,WAT
4.33,0.0552964
4.34,0.062036767
4.35,0.063871049
4.36,0.067195319
4.37,0.067487946
4.38,0.075542436
4.39,0.074601379
4.4,0.070122906
4.41,0.081881805
4.42,0.076233904
4.43,0.08055953
4.44,0.086881396
4.45,0.086202876
4.46,0.082649276
4.47,0.080558811
4.48,0.095327534
4.49,0.083822181
4.5,0.082884121
4.51,0.088150325
4.52,0.09897488
4.53,0.092121586
4.54,0.090881908
4.55,0.101551459
4.56,0.094220563
4.57,0.088324151
4.58,0.096403696
4.59,0.096800499
4.6,0.077701473
4.61,0.087337899
4.62,0.093940044
4.63,0.084983218
4.64,0.094196348
4.65,0.086107811
4.66,0.089431721
4.67,0.078807245
4.68,0.094688095
4.69,0.079957253
4.7,0.081435612
4.71,0.074633867
4.72,0.083318206
4.73,0.074772448
4.74,0.07037885
4.75,0.069574815
4.76,0.069788441
4.77,0.069748641
4.78,0.064945293
4.79,0.062425058
4.8,0.069625405
4.81,0.053242019
4.82,0.062142981
4.83,0.061397568
4.84,0.055274942
4.85,0.049931535
4.86,0.052879142
4.87,0.04879903
4.88,0.041140982
4.89,0.043846791
4.9,0.047486824
4.91,0.038737989
4.92,0.040711932
4.93,0.040781942
4.94,0.04273059
4.95,0.036478014
4.96,0.036098594
4.97,0.03293844
4.98,0.033037101
4.99,0.032905713
5,0.035524729
5.01,0.02990464
5.02,0.031376165
5.03,0.027628959
5.04,0.031128373
5.05,0.031004657
5.06,0.027301687
5.07,0.028977249
5.08,0.026421529
5.09,0.022779698
5.1,0.026215815
5.11,0.025015218
5.12,0.024699694
5.13,0.023950085
5.14,0.027761067
5.15,0.022684273
5.16,0.025609702
5.17,0.022080319
5.18,0.025626725
5.19,0.028080307
5.2,0.024581972
5.21,0.025331941
5.22,0.026917712
5.23,0.025976535
5.24,0.01815617
5.25,0.020373708
5.26,0.022988768
5.27,0.022489708
5.28,0.025075757
5.29,0.022524114
5.3,0.022643994
5.31,0.021338861
5.32,0.021259021
5.33,0.022793484
5.34,0.02270801
5.35,0.023623173
5.36,0.023335821
5.37,0.022057781
5.38,0.023558677
5.39,0.019724798
5.4,0.020241361
5.41,0.024865848
5.42,0.024188526
5.43,0.025071322
5.44,0.020913527
5.45,0.021029811
5.46,0.024028127
5.47,0.023557239
5.48,0.025379893
5.49,0.026618732
5.5,0.031827033
5.51,0.027558949
5.52,0.023320356
5.53,0.029795669
5.54,0.027261168
5.55,0.028279188
5.56,0.028919347
5.57,0.02844654
5.58,0.025768184
5.59,0.02989397
5.6,0.028326061
5.61,0.030226757
5.62,0.026673277
5.63,0.024770663
5.64,0.031347993
5.65,0.030519144
5.66,0.028980245
5.67,0.033513384
5.68,0.031264197
5.69,0.027968459
5.7,0.031398583
5.71,0.031815765
5.72,0.029777567
5.73,0.03002404
5.74,0.029223122
5.75,0.036401531
5.76,0.03610279
5.77,0.02995343
5.78,0.033452245
5.79,0.037268622
5.8,0.032710309
5.81,0.03412621
5.82,0.035870223
5.83,0.031869471
5.84,0.034113623
5.85,0.034499516
5.86,0.034548787
5.87,0.032268911
5.88,0.033650886
5.89,0.032544874
5.9,0.035564529
5.91,0.037249081
5.92,0.033361856
5.93,0.036672699
5.94,0.037685924
5.95,0.035130564
5.96,0.033561456
5.97,0.035378715
5.98,0.033658319
5.99,0.038019549
6,0.032638381
6.01,0.035227786
6.02,0.034636059
6.03,0.031683897
6.04,0.032521498
6.05,0.036329722
6.06,0.035116898
6.07,0.031734127
6.08,0.031475426
6.09,0.034617598
6.1,0.029883421
6.11,0.029171334
6.12,0.030607376
6.13,0.032794464
6.14,0.032992745
6.15,0.030611811
6.16,0.032175045
6.17,0.032522217
6.18,0.0289655
6.19,0.033060598
6.2,0.031314068
6.21,0.030618165
6.22,0.03126108
6.23,0.030126178
