Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,-153.483,-5.2443,-158.7273
2,-166.7553,-2.8089,-169.5642
3,-153.7983,-1.1541,-154.9524
4,-144.2391,-4.5979,-148.83700000000002
5,-149.4331,-0.047,-149.4801
6,-153.7104,-5.3933,-159.1037
7,-141.4207,-3.2495,-144.67020000000002
8,-144.8918,-3.0334,-147.9252
9,-161.8955,-0.59,-162.4855
10,-146.545,-4.8438,-151.38879999999997
11,-158.7994,-0.3554,-159.1548
12,-155.3577,-3.1597,-158.51739999999998
13,-142.0139,-3.7146,-145.7285
14,-157.8179,-2.9102,-160.7281
15,-154.0397,-4.1302,-158.1699
16,-171.1316,0.9857,-170.14589999999998
17,-161.7448,-0.3082,-162.053
18,-150.6117,-2.8972,-153.5089
19,-152.1835,-4.9825,-157.166
20,-153.4889,-1.9687,-155.4576
21,-142.4849,-7.7531,-150.238
22,-149.1174,-4.9948,-154.1122
23,-163.717,-1.4961,-165.21310000000003
24,-155.903,-4.2786,-160.1816
25,-155.5572,-2.3537,-157.9109
26,-146.782,-5.6432,-152.42520000000002
27,-143.8687,-5.8472,-149.71589999999998
28,-122.21,-8.5538,-130.7638
29,-140.0384,-7.4118,-147.4502
30,-143.5158,-5.3672,-148.883
31,-132.1627,-8.3702,-140.5329
32,-122.2894,-5.1539,-127.4433
33,-149.0983,-3.6249,-152.7232
34,-83.7039,-8.7469,-92.4508
35,-71.3091,-8.0512,-79.3603
36,-78.226,-7.4596,-85.6856
37,-78.791,-8.4219,-87.21289999999999
38,-80.7596,-8.4951,-89.25470000000001
39,-80.1017,-7.7839,-87.8856
40,-81.7539,-8.8625,-90.6164
41,-77.5199,-8.3572,-85.87710000000001
42,-89.2975,-8.8403,-98.1378
43,-83.6576,-8.5097,-92.1673
44,-89.1513,-7.1779,-96.3292
45,-86.6897,-9.0175,-95.7072
46,-91.7221,-8.1574,-99.8795
47,-76.9144,-7.7086,-84.623
48,-88.2553,-6.7459,-95.00120000000001
49,-83.8417,-8.1512,-91.9929
50,-84.0673,-8.9054,-92.9727
51,-77.8545,-8.0493,-85.9038
52,-90.0469,-7.142,-97.18889999999999
53,-80.602,-9.3397,-89.9417
54,-88.5127,-7.3488,-95.86149999999999
55,-80.393,-8.9606,-89.3536
56,-75.1596,-8.1687,-83.3283
57,-82.7609,-8.8508,-91.61170000000001
58,-80.1923,-9.0344,-89.22670000000001
59,-77.0564,-8.4641,-85.5205
60,-83.3348,-6.9049,-90.2397
61,-86.9026,-7.2083,-94.1109
62,-77.7462,-8.144,-85.89020000000001
63,-73.2583,-7.6888,-80.9471
64,-85.0524,-9.1112,-94.1636
65,-82.0415,-6.6855,-88.727
66,-90.5506,-9.059,-99.6096
67,-87.4028,-8.1031,-95.5059
68,-89.5729,-8.8351,-98.408
69,-83.3178,-8.8313,-92.1491
70,-82.3761,-9.1313,-91.50739999999999
71,-81.6976,-9.0434,-90.741
72,-84.8827,-8.3342,-93.2169
73,-88.683,-8.7619,-97.4449
74,-88.0333,-7.9625,-95.9958
