Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,7.8576,-0.6602,7.1974
2,9.1063,-0.8614,8.2449
3,9.4164,-0.9025,8.5139
4,14.104,-0.8568,13.2472
5,12.1456,-0.4108,11.7348
6,14.8498,-0.8497,14.0001
7,12.4764,-0.5078,11.9686
8,13.7239,-0.7124,13.0115
9,9.9065,-0.507,9.3995
10,14.7201,-0.7571,13.963000000000001
11,13.4781,-0.5681,12.91
12,8.1532,-0.5776,7.5756
13,15.1841,-0.9182,14.2659
14,8.5436,-0.7212,7.8224
15,6.6875,-0.7642,5.9233
16,12.0641,-0.9125,11.1516
17,13.5379,-0.6079,12.93
18,7.6301,-0.6002,7.0299
19,13.6264,-0.5653,13.0611
20,13.5183,-0.5896,12.9287
21,15.1052,-0.7906,14.3146
22,11.2958,-0.93,10.3658
23,13.5196,-0.4189,13.1007
24,10.3663,-0.7513,9.615
25,5.1671,-0.4367,4.7303999999999995
26,6.4521,-0.367,6.0851
27,7.9368,-0.4751,7.4616999999999996
28,7.7968,-0.6558,7.141
29,9.0135,-0.7345,8.279
30,8.4676,-0.4043,8.0633
31,4.9406,-0.3267,4.6139
32,8.1886,-0.849,7.339599999999999
33,12.8033,-0.6502,12.1531
34,15.5922,-0.9774,14.6148
35,14.0703,-0.9782,13.0921
36,13.2377,-0.8554,12.3823
37,5.9497,-0.4232,5.5265
38,10.9444,-0.5612,10.3832
39,14.4678,-0.7735,13.6943
40,14.6158,-0.7731,13.8427
41,6.5328,-0.5099,6.0229
42,12.7789,-0.665,12.113900000000001
43,15.0185,-0.9047,14.1138
44,6.2232,-0.4187,5.8045
45,4.8889,-0.6197,4.2692
46,14.7915,-0.8272,13.9643
47,12.1019,-0.696,11.4059
48,10.6528,-0.8508,9.802
49,14.4125,-0.5379,13.8746
50,13.8274,-0.7078,13.1196
51,12.803,-0.734,12.069
52,10.8558,-0.7164,10.1394
53,15.4933,-0.7537,14.7396
54,8.3243,-0.5416,7.782699999999999
55,3.0015,-0.3994,2.6021
56,10.198,-0.6294,9.5686
57,5.0886,-0.4067,4.6819
58,7.2643,-0.6135,6.6508
59,8.2023,-0.729,7.473299999999999
60,5.8662,-0.6052,5.261
61,10.0121,-0.8926,9.1195
62,6.7534,-0.6244,6.1290000000000004
63,8.8686,-0.6371,8.2315
64,9.3236,-0.619,8.704600000000001
65,11.9358,-0.5674,11.368400000000001
66,6.0919,-0.593,5.4989
67,9.2205,-0.5807,8.6398
68,15.5525,-0.8455,14.707
69,8.6037,-0.5705,8.0332
70,5.5439,-0.402,5.1419
71,5.6794,-0.8277,4.8517
72,8.9274,-0.4951,8.4323
73,10.2391,-0.4519,9.7872
74,7.8501,-0.5561,7.2940000000000005
75,9.3404,-0.5843,8.7561
76,8.4648,-0.5802,7.884600000000001
77,8.1443,-0.5712,7.573099999999999
78,8.5891,-0.5191,8.07
79,6.8071,-0.4469,6.3602
80,6.033,-0.3959,5.6371
81,8.9789,-0.548,8.4309
82,6.5585,-0.442,6.1165
83,10.8231,-0.4691,10.354000000000001
84,5.4832,-0.5188,4.9644
85,10.4677,-0.6837,9.784
86,10.166,-0.5633,9.6027
87,6.1831,-0.29,5.8931
88,9.3703,-0.5295,8.8408
89,12.1715,-0.6382,11.5333
90,3.7454,-0.4575,3.2879
91,7.6892,-0.6763,7.012899999999999
92,5.5856,-0.6416,4.944000000000001
93,6.1025,-0.4901,5.6124
94,7.2032,-0.5797,6.6235
95,10.4646,-0.7988,9.6658
96,9.3238,-0.7412,8.582600000000001
97,7.2648,-0.473,6.7918
98,10.0382,-0.7634,9.274799999999999
99,7.1878,-0.5952,6.5926
100,10.1134,-0.8204,9.293000000000001
101,15.2316,-0.5127,14.7189
102,5.9595,-0.5391,5.4204
103,12.3485,-0.6068,11.7417
104,7.5753,-0.4458,7.1295
105,8.9424,-0.7752,8.1672
106,5.1967,-0.6722,4.5245
107,6.9631,-0.4994,6.4637
108,6.968,-0.6699,6.2981
109,7.5409,-0.7481,6.7928
110,6.4605,-0.6127,5.847799999999999
111,12.9665,-0.6863,12.2802
112,7.4443,-0.5226,6.9217
113,14.3361,-0.6795,13.656600000000001
114,13.5931,-0.7626,12.8305
115,11.3962,-0.7484,10.6478
116,9.8604,-0.922,8.9384
117,6.7622,-0.5858,6.1764
118,4.5342,-0.5456,3.9886000000000004
119,7.2763,-0.7514,6.5249
120,10.6191,-0.6725,9.9466
121,15.4635,-0.8137,14.649799999999999
122,16.2277,-0.8612,15.366499999999998
123,11.5896,-0.4296,11.16
124,13.0179,-0.7353,12.282599999999999
125,8.576,-0.7598,7.8162
126,14.5493,-0.7878,13.7615
127,8.2405,-0.6697,7.570800000000001
128,8.8375,-0.6196,8.2179
129,5.4806,-0.3328,5.1478
130,13.1977,-0.6659,12.531799999999999
131,13.0134,-0.8387,12.174700000000001
132,15.0175,-0.7917,14.2258
133,7.2901,-0.5346,6.7555
134,9.1778,-1.0495,8.1283
135,7.1077,-0.4707,6.6370000000000005
136,7.5871,-0.4864,7.100700000000001
137,7.4827,-0.6444,6.8383
138,9.2584,-0.9818,8.2766
139,9.1276,-0.6175,8.5101
140,13.6729,-0.7876,12.8853
141,9.1383,-0.7083,8.43
142,8.8081,-0.7586,8.0495
143,7.2016,-0.6246,6.577
144,13.1723,-0.7576,12.4147
145,5.6951,-0.657,5.0381
146,9.371,-0.6582,8.7128
147,11.0754,-0.7488,10.326600000000001
148,9.688,-0.6739,9.014100000000001
149,4.4957,-0.598,3.8977000000000004
150,7.4018,-0.3527,7.049099999999999
151,6.5631,-0.437,6.1261
152,10.1462,-0.5597,9.586500000000001
153,7.7865,-0.7073,7.0792
154,7.677,-0.7383,6.9387
155,8.4981,-0.7203,7.777800000000001
156,9.5441,-0.7038,8.840300000000001
157,7.6334,-0.4973,7.1361
158,13.9941,-0.8403,13.1538
159,11.7528,-0.6995,11.0533
160,6.2936,-0.6977,5.595899999999999
161,12.7385,-0.7933,11.9452
162,11.5789,-0.5044,11.0745
163,9.1917,-0.5889,8.6028
164,11.1671,-0.8131,10.354
165,9.1976,-0.669,8.528599999999999
166,10.6008,-0.6455,9.9553
167,7.2568,-0.5727,6.6841
168,6.4349,-0.8326,5.6023
169,13.0825,-0.8109,12.2716
170,9.8696,-0.6368,9.232800000000001
171,13.2302,-0.7854,12.4448
172,12.5554,-0.9251,11.6303
173,14.1831,-0.8275,13.355599999999999
174,8.357,-0.6795,7.677499999999999
175,9.7728,-0.5799,9.1929
176,6.7143,-0.5469,6.1674
177,8.7891,-0.8176,7.9715
178,11.5105,-0.9959,10.5146
179,9.4682,-0.9546,8.5136
180,10.7246,-0.7779,9.9467
181,9.6258,-0.7619,8.8639
182,8.6165,-0.7094,7.9071
183,15.3292,-0.8521,14.4771
184,10.9459,-0.8833,10.0626
185,8.9087,-0.8879,8.0208
186,10.8744,-0.9745,9.899899999999999
187,12.818,-0.701,12.116999999999999
188,17.2242,-0.9213,16.3029
189,12.5736,-0.7296,11.844000000000001
190,14.0764,-0.8477,13.2287
191,11.8408,-0.6852,11.1556
192,8.3387,-0.5626,7.7761
193,8.6874,-0.6383,8.049100000000001
194,14.9373,-0.725,14.2123
195,8.3365,-0.5212,7.815299999999999
196,7.7176,-0.9208,6.7968
197,8.4512,-0.6647,7.7865
198,10.8618,-0.8916,9.9702
199,9.5768,-0.8334,8.743400000000001
200,9.8292,-0.6232,9.206
201,9.1853,-0.6045,8.5808
202,14.0648,-0.7899,13.2749
203,10.5389,-0.5057,10.0332
204,10.0566,-0.5524,9.504199999999999
205,8.3691,-0.8853,7.4838
206,12.4662,-0.7859,11.6803
207,12.9056,-0.8729,12.0327
208,10.8926,-0.8372,10.0554
209,12.0063,-0.5563,11.45
210,10.1079,-0.831,9.276900000000001
211,6.7782,-0.8091,5.9691
212,11.5379,-0.8434,10.6945
213,6.6466,-0.6235,6.0231
214,13.1637,-0.6851,12.4786
215,7.9844,-0.5535,7.4309
216,5.9466,-0.6144,5.3322
217,13.7743,-0.9604,12.8139
218,7.6227,-0.6977,6.925
219,6.8022,-0.496,6.3062000000000005
220,13.5919,-0.7745,12.817400000000001
221,7.4045,-0.532,6.8725
222,12.709,-0.6204,12.0886
223,4.9605,-0.5885,4.372
224,9.1781,-0.6671,8.511000000000001
225,8.9584,-0.5374,8.421
226,6.4532,-0.3128,6.1404
227,9.6553,-0.5575,9.097800000000001
228,6.1351,-0.5313,5.603800000000001
229,8.9582,-0.7715,8.1867
230,6.4389,-0.5663,5.8726
231,12.6423,-0.8194,11.8229
232,8.325,-0.4829,7.842099999999999
233,9.4191,-0.9338,8.4853
234,8.4417,-0.7331,7.708600000000001
235,8.1335,-0.702,7.4315
236,5.9734,-0.3325,5.6409
237,8.2256,-0.7379,7.4877
238,8.2241,-0.8962,7.3279
239,5.6958,-0.6811,5.0147
240,6.5825,-0.4422,6.1403
241,11.9934,-0.6717,11.3217
242,8.4771,-0.6726,7.8045
243,9.6934,-0.7732,8.920200000000001
244,4.6465,-0.5447,4.1018
245,9.5518,-0.4532,9.0986
246,7.309,-0.7476,6.5614
247,6.0471,-0.5061,5.541
248,7.5924,-0.4321,7.160299999999999
249,6.7974,-0.3755,6.4219
250,6.1269,-0.3189,5.808
251,6.3486,-0.475,5.873600000000001
252,3.5736,-0.4708,3.1028
253,8.9818,-0.4224,8.5594
254,6.75,-0.4278,6.3222
255,6.6557,-0.4238,6.2319
256,8.2574,-0.574,7.683400000000001
257,7.8335,-0.6707,7.1628
258,9.7393,-0.6857,9.0536
259,8.1682,-0.4442,7.724
260,5.0232,-0.4146,4.6086
261,6.3544,-0.4843,5.8701
262,3.8058,-0.4402,3.3656
263,14.486,-0.7753,13.710700000000001
264,8.2737,-0.7394,7.5343
265,10.478,-0.7232,9.7548
266,9.0809,-0.6531,8.4278
267,7.9621,-0.9208,7.041300000000001
268,5.0111,-0.6178,4.3933
269,10.7805,-0.6121,10.1684
270,6.2319,-0.5124,5.7195
271,10.9104,-0.9213,9.989099999999999
272,10.5263,-0.7773,9.749
273,9.2593,-0.7437,8.5156
274,8.2107,-0.4473,7.763399999999999
275,6.3194,-0.3607,5.9587
276,8.1838,-0.5056,7.6781999999999995
277,10.1612,-0.5127,9.648499999999999
278,8.4668,-0.7293,7.737499999999999
279,13.9962,-0.8095,13.1867
280,8.9344,-0.5227,8.4117
281,7.1137,-0.5041,6.6095999999999995
282,11.088,-0.727,10.360999999999999
283,8.2218,-0.5067,7.7151
284,5.7377,-0.6058,5.1319
285,5.6022,-0.603,4.9992
286,11.0802,-0.7565,10.323699999999999
287,12.0944,-0.7405,11.3539
288,9.1698,-0.7129,8.456900000000001
289,6.1591,-0.5303,5.6288
290,4.5606,-0.3644,4.1962
291,14.0169,-0.7518,13.2651
292,7.1096,-0.446,6.663600000000001
293,6.5488,-0.4329,6.1159
294,8.5442,-0.5228,8.0214
295,10.0177,-0.3933,9.6244
296,10.9612,-0.7841,10.1771
297,7.8145,-0.5587,7.2558
298,8.6615,-0.5803,8.0812
299,5.2787,-0.3834,4.8953
300,7.3318,-0.3617,6.9701
301,13.4329,-0.6668,12.7661
302,7.9176,-0.6341,7.2835
303,6.221,-0.3721,5.8489
304,7.444,-0.5412,6.9028
305,6.0469,-0.541,5.5059
306,10.015,-0.7969,9.2181
307,9.3193,-0.7202,8.5991
308,3.9896,-0.469,3.5206
309,12.7415,-0.64,12.1015
310,12.1375,-0.8131,11.324399999999999
311,9.6216,-0.965,8.656600000000001
312,7.8894,-0.4443,7.4451
313,8.4053,-0.4434,7.9619
314,7.576,-0.4556,7.1204
315,7.9494,-0.3978,7.5516
316,11.1815,-0.5641,10.6174
317,7.5985,-0.493,7.105499999999999
318,9.5299,-0.627,8.902899999999999
319,4.8864,-0.4426,4.4438
320,5.5528,-0.3467,5.2061
321,6.9326,-0.5176,6.415
322,12.9391,-0.5576,12.381499999999999
323,6.198,-0.3518,5.8462000000000005
324,8.2835,-0.4257,7.8578
325,9.44,-0.5747,8.8653
326,6.5119,-0.3421,6.1697999999999995
327,4.0606,-0.2937,3.7669
328,6.1327,-0.3154,5.8172999999999995
329,6.8895,-0.4009,6.4886
330,2.7022,-0.3927,2.3095
331,6.0017,-0.5137,5.4879999999999995
332,5.3844,-0.2307,5.153700000000001
333,10.7536,-0.4564,10.2972
334,13.6029,-0.8514,12.7515
335,5.9649,-0.4511,5.5138
336,7.6716,-0.4548,7.2168
337,3.0487,-0.4513,2.5974000000000004
338,6.5499,-0.3719,6.178
339,6.011,-0.4263,5.5847
340,10.4541,-0.454,10.0001
341,5.8976,-0.4159,5.4817
342,7.9937,-0.4258,7.5679
343,7.1071,-0.5538,6.5533
344,10.3331,-0.6896,9.6435
345,12.8726,-0.5901,12.2825
346,6.0906,-0.3364,5.7542
347,8.5675,-0.6595,7.908000000000001
348,5.6797,-0.6153,5.064400000000001
349,7.0076,-0.5012,6.5064
350,8.0914,-0.518,7.5734
351,8.0907,-0.2897,7.801
352,14.0537,-0.6933,13.360399999999998
353,7.5645,-0.5159,7.0485999999999995
354,6.7017,-0.4223,6.2794
355,6.6669,-0.4471,6.2198
356,11.0282,-0.4765,10.5517
357,5.5766,-0.4371,5.1395
358,11.644,-0.7799,10.8641
359,9.6204,-0.3847,9.2357
360,5.3001,-0.3511,4.949
361,9.0791,-0.5379,8.5412
362,7.3348,-0.3272,7.0076
363,5.2573,-0.7627,4.4946
364,6.2618,-0.43,5.8318
365,11.653,-0.7879,10.8651
366,5.0799,-0.3231,4.7568
367,7.783,-0.3153,7.467700000000001
368,6.9123,-0.3587,6.5536
369,6.8055,-0.3675,6.438000000000001
370,7.7687,-0.4891,7.2796
371,9.0935,-0.6486,8.4449
372,6.2809,-0.4154,5.8655
373,7.0379,-0.5267,6.5112
374,3.3973,-0.5006,2.8967
375,8.041,-0.6091,7.431900000000001
376,10.4608,-0.594,9.866800000000001
377,9.7228,-0.5649,9.1579
378,5.7679,-0.4639,5.304
379,9.7011,-0.4359,9.2652
380,6.3894,-0.3908,5.998600000000001
381,4.3916,-0.3193,4.0723
382,6.6998,-0.6805,6.019299999999999
383,9.8102,-0.5387,9.2715
384,11.8047,-0.7802,11.0245
385,12.6905,-0.7597,11.9308
386,5.6607,-0.3738,5.2869
387,7.9338,-0.5703,7.3635
388,5.9601,-0.4058,5.5543
389,5.975,-0.368,5.606999999999999
390,6.4407,-0.4713,5.969399999999999
391,14.6685,-0.7669,13.9016
392,9.7444,-0.3698,9.374600000000001
393,9.4383,-0.4131,9.0252
394,8.1617,-0.4704,7.6913
395,9.5165,-0.6234,8.8931
396,7.152,-0.2724,6.8796
397,7.9976,-0.3404,7.6572000000000005
398,5.4352,-0.3602,5.075
399,6.9265,-0.5172,6.4093
400,8.7353,-0.6231,8.112200000000001
401,13.0186,-0.6883,12.3303
402,7.5414,-0.4532,7.0882000000000005
403,8.193,-0.7235,7.4695
404,13.0955,-0.582,12.513499999999999
405,4.9372,-0.3092,4.628
406,15.3019,-0.8829,14.419
407,7.9357,-0.4581,7.4776
408,6.4694,-0.4144,6.055000000000001
409,7.5147,-0.4174,7.097300000000001
410,8.1225,-0.2836,7.838900000000001
411,11.4704,-0.6647,10.8057
412,7.7348,-0.573,7.1617999999999995
413,5.1121,-0.3119,4.8002
414,6.6056,-0.409,6.1966
415,5.4202,-0.3141,5.1061000000000005
416,5.8475,-0.4647,5.3828000000000005
417,5.305,-0.3816,4.9234
418,5.8886,-0.3603,5.528300000000001
419,8.3313,-0.6967,7.634600000000001
420,9.806,-0.3634,9.442599999999999
421,5.7472,-0.3616,5.3856
422,10.9195,-0.5575,10.362
423,7.298,-0.5889,6.7091
424,8.8686,-0.557,8.3116
425,7.6947,-0.553,7.1417
426,6.856,-0.4027,6.4533
427,8.6591,-0.5138,8.1453
428,7.7071,-0.5519,7.1552
429,8.4921,-0.7047,7.787400000000001
430,7.0658,-0.3398,6.726
431,11.2695,-0.4884,10.7811
432,6.348,-0.5015,5.8465
433,5.4531,-0.3293,5.1238
434,8.5936,-0.5636,8.030000000000001
435,6.6789,-0.4784,6.2005
436,7.7268,-0.5323,7.1945
