Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,-12.9356,-6.8483,-19.783900000000003
2,-15.3232,-7.056,-22.3792
3,-10.8822,-6.8984,-17.7806
4,-12.3837,-7.3451,-19.7288
5,-11.0618,-8.0874,-19.1492
6,-13.4143,-6.7889,-20.203200000000002
7,-12.2998,-7.809,-20.1088
8,-15.4183,-6.4556,-21.8739
9,-10.9802,-5.8431,-16.8233
10,-8.1405,-7.0744,-15.2149
11,-11.1966,-7.3494,-18.546
12,-8.6708,-7.5356,-16.2064
13,-10.4154,-4.5241,-14.939499999999999
14,-11.5339,-7.3285,-18.8624
15,-11.1649,-6.9615,-18.1264
16,-9.4455,-7.2193,-16.6648
17,-12.1256,-7.9503,-20.0759
18,-9.2564,-4.9323,-14.188699999999999
19,-11.5054,-6.6611,-18.1665
20,-8.071,-7.1096,-15.1806
21,-10.3729,-6.0914,-16.4643
22,-13.9039,-6.9838,-20.8877
23,-12.3693,-5.9949,-18.3642
24,-9.9531,-6.4973,-16.4504
25,-13.0394,-6.892,-19.9314
26,-9.4425,-7.4609,-16.9034
27,-7.1919,-4.81,-12.0019
28,-9.2991,-5.1523,-14.4514
29,-9.9931,-6.0783,-16.0714
30,-11.5702,-7.5512,-19.1214
31,-15.509,-8.1682,-23.6772
32,-11.4807,-7.0386,-18.5193
33,-13.042,-5.9542,-18.9962
34,-8.7272,-7.5971,-16.3243
35,-10.2368,-6.3698,-16.6066
36,-8.6867,-6.2866,-14.9733
37,-9.1968,-6.0901,-15.2869
38,-8.2302,-6.8481,-15.078299999999999
39,-8.998,-5.5809,-14.578899999999999
40,-10.8222,-5.312,-16.1342
41,-10.2855,-6.2391,-16.5246
42,-9.502,-4.3022,-13.804200000000002
43,-9.98,-5.6147,-15.5947
44,-9.7002,-6.346,-16.0462
45,-9.1095,-5.7283,-14.837800000000001
46,-6.5034,-4.075,-10.5784
47,-7.0841,-4.3557,-11.4398
48,-8.7057,-4.6128,-13.3185
49,-7.8726,-5.5863,-13.4589
50,-8.113,-6.354,-14.466999999999999
