Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,-150.3063,1.9925,-148.3138
2,-141.7515,-0.8821,-142.6336
3,-142.4779,-4.9727,-147.4506
4,-114.2725,-2.9607,-117.2332
5,-143.1828,-6.9615,-150.1443
6,-142.2717,-1.353,-143.62470000000002
7,-134.2557,-0.5676,-134.8233
8,-79.3746,-9.1391,-88.5137
9,-77.3161,-8.8437,-86.1598
10,-75.6797,-8.1419,-83.82159999999999
11,-75.7872,-8.7455,-84.5327
12,-74.8848,-8.4736,-83.3584
13,-75.4818,-7.1497,-82.6315
14,-79.1206,-7.7035,-86.8241
15,-78.1904,-6.938,-85.1284
16,-72.6186,-8.2101,-80.8287
17,-72.0564,-7.8535,-79.9099
18,-72.6889,-8.6262,-81.3151
19,-74.4123,-8.3035,-82.7158
20,-77.6031,-9.1577,-86.7608
21,-76.9131,-7.8428,-84.7559
22,-72.4529,-7.0523,-79.5052
23,-73.4444,-8.2356,-81.68
24,-69.2387,-8.1743,-77.413
25,-75.2534,-7.5217,-82.7751
26,-73.0826,-8.8757,-81.9583
27,-76.3837,-8.5414,-84.9251
28,-69.6416,-8.71,-78.35159999999999
29,-105.6657,-6.2963,-111.962
30,-65.9043,-8.4241,-74.3284
31,-68.8763,-8.9649,-77.8412
32,-68.1046,-7.7446,-75.84920000000001
33,-65.3236,-9.1936,-74.5172
34,-70.3473,-9.1762,-79.5235
35,-61.7882,-10.0868,-71.875
36,-69.1901,-8.4935,-77.6836
37,-71.5744,-9.5028,-81.0772
38,-73.0618,-8.693,-81.7548
39,-71.268,-9.3199,-80.5879
40,-75.4777,-6.725,-82.2027
41,-73.0723,-9.3753,-82.4476
42,-71.0588,-8.8008,-79.8596
43,-69.0229,-9.2584,-78.2813
44,-74.9831,-8.5842,-83.56729999999999
45,-71.1645,-9.9455,-81.11
46,-72.4471,-7.9207,-80.3678
47,-72.8552,-7.9177,-80.77289999999999
48,-73.9052,-8.9879,-82.89309999999999
49,-75.1574,-9.0198,-84.1772
50,-80.7034,-9.6055,-90.3089
51,-74.4242,-8.2625,-82.6867
52,-145.1022,-0.8596,-145.9618
53,-68.5308,-8.4245,-76.9553
54,-63.4488,-8.2087,-71.6575
55,-56.8725,-8.5635,-65.436
56,-74.1111,-8.563,-82.6741
57,-62.3883,-7.9675,-70.3558
58,-72.6618,-9.793,-82.4548
