Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,31.8242,-0.0216,31.8026
2,34.5328,-0.0192,34.513600000000004
3,26.308,-0.0125,26.2955
4,24.4859,-0.0155,24.4704
5,26.7037,-0.0142,26.689500000000002
6,25.8608,-0.0128,25.848000000000003
7,28.4539,-0.0162,28.4377
8,23.7959,-0.0154,23.7805
9,31.6049,-0.0173,31.587600000000002
10,23.2201,-0.0185,23.2016
11,27.7626,-0.016,27.7466
12,34.6661,-0.0211,34.645
13,28.3376,-0.0142,28.3234
14,33.2656,-0.018,33.2476
15,26.0785,-0.0154,26.0631
16,31.5343,-0.0188,31.515500000000003
17,29.5881,-0.0139,29.5742
18,32.5218,-0.0135,32.5083
19,35.2094,-0.0232,35.1862
20,30.715,-0.0157,30.6993
21,27.6465,-0.015,27.6315
22,27.477,-0.0122,27.4648
23,34.7226,-0.0194,34.7032
24,35.4865,-0.0192,35.4673
25,26.3693,-0.0136,26.3557
26,33.6011,-0.0203,33.5808
27,31.3655,-0.0167,31.3488
28,33.9302,-0.0221,33.9081
29,28.8346,-0.016,28.8186
30,28.7796,-0.0164,28.763199999999998
31,32.228,-0.03,32.198
32,32.9782,-0.0205,32.9577
33,29.1995,-0.0194,29.1801
34,38.3805,-0.0249,38.355599999999995
35,31.951,-0.0195,31.9315
36,48.4463,-0.027,48.4193
37,37.922,-0.0253,37.896699999999996
38,35.5309,-0.0251,35.5058
39,38.2633,-0.0291,38.2342
40,36.9565,-0.029,36.927499999999995
41,34.3187,-0.0218,34.2969
42,40.9593,-0.0277,40.931599999999996
43,36.5787,-0.0238,36.554899999999996
44,34.5164,-0.02,34.496399999999994
45,36.758,-0.0261,36.7319
46,39.1194,-0.0268,39.0926
47,33.1026,-0.0205,33.082100000000004
48,40.8131,-0.0202,40.792899999999996
49,37.5592,-0.0266,37.532599999999995
50,33.9163,-0.0243,33.892
51,32.6886,-0.0246,32.664
52,35.2562,-0.0181,35.2381
53,33.3746,-0.0209,33.3537
54,33.3205,-0.0314,33.289100000000005
55,32.8142,-0.0231,32.7911
56,32.7181,-0.023,32.6951
57,34.3665,-0.0264,34.3401
58,38.5959,-0.0335,38.562400000000004
59,31.2894,-0.0208,31.2686
60,28.9221,-0.0188,28.9033
61,40.6714,-0.0283,40.6431
62,35.2673,-0.0222,35.2451
63,33.2816,-0.0251,33.256499999999996
64,40.6729,-0.0328,40.6401
65,33.5806,-0.0241,33.5565
66,39.7996,-0.0316,39.768
67,34.4144,-0.0255,34.3889
68,35.6209,-0.0233,35.5976
69,37.3718,-0.0298,37.342
70,38.8107,-0.029,38.781699999999994
71,35.1207,-0.0317,35.089
72,35.3914,-0.0234,35.367999999999995
73,43.0685,-0.0373,43.0312
74,37.2121,-0.0232,37.1889
75,34.3036,-0.0223,34.2813
76,36.498,-0.0272,36.4708
77,37.7163,-0.0284,37.6879
78,42.0538,-0.0347,42.0191
79,41.9949,-0.0279,41.967
80,39.2576,-0.0292,39.22839999999999
81,35.8287,-0.0264,35.802299999999995
82,37.208,-0.0279,37.180099999999996
83,33.0629,-0.0217,33.041199999999996
84,33.7917,-0.0211,33.7706
85,34.7855,-0.0222,34.7633
86,34.942,-0.0229,34.9191
87,39.6789,-0.0372,39.6417
88,39.4213,-0.0264,39.3949
89,30.7151,-0.025,30.6901
90,36.1995,-0.0245,36.175
91,34.665,-0.0268,34.6382
92,36.5971,-0.0217,36.575399999999995
93,34.9771,-0.0216,34.9555
94,41.1112,-0.0276,41.0836
95,40.7307,-0.0272,40.7035
96,35.2509,-0.0255,35.2254
97,40.4472,-0.0258,40.421400000000006
98,31.5133,-0.0235,31.489800000000002
99,42.2365,-0.031,42.2055
100,35.7856,-0.0264,35.7592
101,29.99,-0.0204,29.9696
102,31.882,-0.0174,31.864600000000003
103,30.5348,-0.0212,30.5136
104,38.9406,-0.0304,38.9102
105,37.9191,-0.0319,37.8872
106,40.4734,-0.0357,40.4377
107,36.4177,-0.0308,36.386900000000004
108,41.1604,-0.0278,41.132600000000004
109,35.9596,-0.0248,35.9348
110,34.8257,-0.0256,34.8001
111,33.6375,-0.0205,33.617000000000004
112,38.5699,-0.0308,38.5391
113,36.9717,-0.0287,36.943
114,33.9333,-0.0241,33.909200000000006
115,34.9203,-0.0262,34.894099999999995
116,33.0372,-0.0212,33.016
117,34.8606,-0.0291,34.8315
118,38.199,-0.0259,38.1731
119,39.0445,-0.0355,39.009
120,33.2982,-0.0289,33.2693
121,36.5863,-0.0272,36.5591
122,37.5056,-0.0258,37.479800000000004
123,34.6084,-0.0243,34.58410000000001
124,37.5636,-0.0271,37.536500000000004
125,34.7942,-0.022,34.7722
126,34.5172,-0.0266,34.4906
127,32.4194,-0.0222,32.397200000000005
128,36.229,-0.0305,36.198499999999996
129,34.5597,-0.0321,34.5276
130,36.8778,-0.0276,36.8502
131,33.8954,-0.0235,33.871900000000004
132,33.9987,-0.0307,33.967999999999996
133,34.2089,-0.0236,34.1853
134,34.4643,-0.0257,34.4386
135,42.9481,-0.0343,42.913799999999995
136,35.4972,-0.0261,35.4711
137,31.5241,-0.0204,31.503700000000002
138,34.5455,-0.027,34.518499999999996
139,40.9972,-0.0306,40.9666
140,39.0897,-0.0314,39.0583
141,28.9312,-0.0191,28.9121
142,36.3496,-0.0258,36.323800000000006
143,37.3672,-0.0263,37.3409
144,32.1317,-0.021,32.1107
145,42.0627,-0.0317,42.031
146,40.3661,-0.0331,40.333000000000006
147,37.8592,-0.0344,37.8248
148,38.6317,-0.0339,38.5978
149,36.7529,-0.0348,36.7181
150,36.5409,-0.0282,36.5127
151,32.1534,-0.0236,32.129799999999996
152,32.7109,-0.0252,32.685700000000004
153,35.369,-0.0361,35.3329
154,41.1846,-0.037,41.147600000000004
155,33.0268,-0.0233,33.0035
156,31.405,-0.0235,31.381500000000003
157,39.8373,-0.029,39.808299999999996
158,42.5466,-0.0402,42.5064
159,30.6292,-0.0212,30.608
160,29.0318,-0.024,29.0078
161,35.1942,-0.0205,35.173700000000004
162,32.207,-0.0217,32.1853
163,36.139,-0.0259,36.1131
164,34.9168,-0.0246,34.8922
165,31.8464,-0.0213,31.8251
166,38.7996,-0.0311,38.768499999999996
167,34.8175,-0.0299,34.787600000000005
168,35.5015,-0.0272,35.4743
169,33.4794,-0.027,33.4524
170,30.099,-0.0221,30.076900000000002
171,38.7723,-0.0303,38.742000000000004
172,36.6651,-0.0197,36.6454
173,35.4082,-0.0278,35.3804
174,36.5312,-0.0294,36.501799999999996
175,33.9316,-0.0236,33.908
176,36.2353,-0.0247,36.2106
177,32.5842,-0.0196,32.564600000000006
178,34.0275,-0.021,34.0065
179,34.0282,-0.0224,34.0058
180,32.4379,-0.0242,32.4137
181,37.242,-0.0311,37.210899999999995
182,38.9356,-0.0317,38.9039
183,36.205,-0.0266,36.178399999999996
184,37.6325,-0.0295,37.603
185,37.1108,-0.0307,37.080099999999995
186,38.8584,-0.0303,38.828100000000006
187,41.0017,-0.0287,40.973
188,38.5484,-0.0274,38.521
189,47.3689,-0.0334,47.335499999999996
190,35.548,-0.0235,35.5245
191,32.5629,-0.0227,32.5402
192,45.4784,-0.0435,45.4349
193,34.5786,-0.0224,34.556200000000004
194,35.6385,-0.0339,35.6046
195,39.3488,-0.0392,39.309599999999996
196,35.646,-0.0259,35.6201
197,36.9349,-0.0276,36.9073
198,35.1142,-0.0362,35.077999999999996
199,36.3192,-0.0261,36.2931
200,40.7497,-0.0304,40.7193
201,40.52,-0.0329,40.487100000000005
202,31.5791,-0.0186,31.5605
203,34.4001,-0.0232,34.3769
204,35.283,-0.0232,35.2598
205,33.3623,-0.0235,33.3388
206,37.0147,-0.0223,36.992399999999996
207,35.6665,-0.0223,35.6442
208,41.9248,-0.0299,41.8949
209,32.6134,-0.0202,32.593199999999996
210,35.8973,-0.0245,35.8728
211,34.5769,-0.0257,34.5512
212,33.9808,-0.0204,33.9604
213,27.1378,-0.0205,27.1173
214,35.3416,-0.0248,35.3168
215,33.1461,-0.023,33.123099999999994
216,29.9993,-0.0182,29.9811
217,37.7421,-0.0221,37.72
218,47.1827,-0.0361,47.1466
219,34.3192,-0.0219,34.2973
220,41.255,-0.0275,41.2275
221,33.0495,-0.0217,33.0278
222,31.7741,-0.0224,31.7517
223,36.9026,-0.0244,36.8782
224,32.3642,-0.0229,32.3413
225,34.5452,-0.0222,34.523
226,38.6822,-0.0255,38.6567
227,42.8527,-0.0293,42.8234
228,32.1141,-0.0183,32.0958
229,34.9139,-0.0285,34.8854
230,32.1364,-0.0229,32.1135
231,32.4256,-0.0216,32.404
232,39.6944,-0.0266,39.6678
233,33.2611,-0.0242,33.2369
234,33.9456,-0.0261,33.9195
235,37.0142,-0.0276,36.9866
236,37.4064,-0.0261,37.3803
237,37.765,-0.0286,37.7364
238,37.2779,-0.0247,37.2532
239,35.328,-0.0241,35.303900000000006
240,37.7059,-0.0277,37.6782
241,37.5157,-0.0245,37.4912
242,35.8174,-0.025,35.7924
243,35.7855,-0.0296,35.7559
244,39.7108,-0.0252,39.6856
245,37.8572,-0.0265,37.8307
246,30.777,-0.0247,30.7523
247,35.5675,-0.0276,35.5399
248,30.3954,-0.022,30.3734
249,40.4284,-0.0268,40.4016
250,37.0942,-0.0303,37.063900000000004
251,44.304,-0.0276,44.2764
252,36.7469,-0.0295,36.7174
253,36.1071,-0.0208,36.0863
254,36.5018,-0.0264,36.4754
255,33.6437,-0.0257,33.618
256,30.8504,-0.0245,30.8259
257,33.2182,-0.0296,33.1886
