Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,-15.068,1.1599,-13.9081
2,-13.9297,0.9017,-13.028
3,-10.7614,-0.7652,-11.5266
4,-16.2699,0.249,-16.0209
5,-16.3565,0.0507,-16.3058
6,-17.6434,0.7344,-16.909
7,-18.2411,0.1587,-18.0824
8,-18.5886,1.1517,-17.4369
9,-17.7155,0.2985,-17.416999999999998
10,-18.3543,0.3437,-18.0106
11,-17.2817,0.3933,-16.8884
12,-14.4577,-0.3362,-14.7939
13,-16.5303,-0.0836,-16.6139
14,-14.804,-0.3087,-15.1127
15,-13.6831,-0.6538,-14.3369
16,-12.7951,-0.7595,-13.554599999999999
17,-18.6962,0.6088,-18.087400000000002
18,-17.5878,-0.2076,-17.7954
19,-16.6817,0.0329,-16.648799999999998
20,-15.9928,-0.1797,-16.1725
21,-17.5752,0.1486,-17.4266
22,-12.8312,-0.73,-13.561200000000001
23,-16.4669,0.1381,-16.328799999999998
24,-15.3462,-0.0071,-15.353299999999999
25,-18.2928,0.5819,-17.7109
26,-17.3327,-0.0366,-17.3693
27,-19.1009,1.3506,-17.7503
28,-14.8771,-0.637,-15.514100000000001
29,-18.2791,1.6911,-16.588
30,-15.1759,-0.5923,-15.7682
31,-18.9139,1.3241,-17.5898
32,-16.8801,1.1322,-15.747899999999998
33,-16.6695,-0.1508,-16.8203
34,-16.5896,0.2376,-16.352
35,-13.7424,-0.5499,-14.292300000000001
36,-17.9629,0.674,-17.2889
37,-21.1432,3.4434,-17.6998
38,-15.1938,-0.4922,-15.686
39,-15.599,-0.2341,-15.8331
40,-17.6524,-0.0073,-17.6597
41,-16.6882,0.4376,-16.2506
42,-16.3971,-0.1594,-16.5565
43,-17.9612,1.1884,-16.7728
44,-17.1942,0.5958,-16.598399999999998
45,-15.9556,-0.2846,-16.2402
46,-18.3809,0.9184,-17.462500000000002
47,-18.1131,0.2882,-17.8249
48,-16.1183,-0.4375,-16.5558
49,-16.6089,-0.0824,-16.6913
50,-18.0096,0.7166,-17.293
51,-13.6905,-0.5481,-14.2386
52,-16.34,0.0207,-16.3193
53,-16.7835,0.2849,-16.4986
54,-17.9669,2.2246,-15.742299999999998
55,-17.5281,0.1715,-17.356599999999997
