Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,-63.9663,2.547,-61.4193
2,-55.2736,0.6312,-54.6424
3,-61.5889,2.298,-59.2909
4,-67.4384,3.336,-64.1024
5,-66.5102,3.8304,-62.6798
6,-59.2709,1.151,-58.119899999999994
7,-64.7892,1.5888,-63.200399999999995
8,-58.7664,1.0565,-57.7099
9,-63.0705,1.6574,-61.4131
10,-61.2062,1.9933,-59.212900000000005
11,-64.1169,2.9151,-61.2018
12,-62.0614,1.7732,-60.288199999999996
13,-60.8638,1.8501,-59.0137
14,-67.1207,4.4407,-62.68
15,-56.582,1.257,-55.325
16,-54.3968,0.6426,-53.7542
17,-59.6302,1.2727,-58.3575
18,-60.5487,1.3051,-59.243599999999994
19,-64.2942,2.8534,-61.4408
20,-60.4114,1.2316,-59.1798
21,-55.8855,0.4912,-55.3943
22,-66.5575,4.1377,-62.4198
23,-62.9809,2.0085,-60.9724
24,-57.0784,0.7149,-56.3635
25,-62.3959,3.1782,-59.2177
26,-58.9582,0.6745,-58.283699999999996
27,-66.6977,3.1333,-63.5644
28,-54.3266,0.5998,-53.7268
29,-61.4487,1.6796,-59.7691
30,-56.5219,0.6752,-55.846700000000006
31,-63.9743,1.7465,-62.2278
32,-57.6411,0.9939,-56.6472
33,-56.2424,1.2813,-54.9611
34,-56.9709,1.3176,-55.6533
35,-57.5135,1.1699,-56.3436
36,-57.7556,0.8168,-56.9388
37,-58.0202,0.9255,-57.0947
38,-65.8662,2.8134,-63.052800000000005
39,-61.9613,1.5858,-60.3755
40,-63.2098,2.6809,-60.5289
41,-56.6191,0.587,-56.0321
42,-59.4686,1.3178,-58.150800000000004
43,-59.7684,1.0302,-58.7382
44,-62.8102,1.3434,-61.4668
45,-59.7364,1.0348,-58.701600000000006
46,-56.7694,1.261,-55.508399999999995
47,-65.4357,3.2134,-62.2223
48,-61.6854,1.5279,-60.1575
49,-59.5447,1.0271,-58.5176
50,-61.6995,1.6311,-60.0684
51,-63.2677,1.2464,-62.0213
52,-63.3543,2.1203,-61.234
53,-64.2314,2.4092,-61.822199999999995
54,-67.8066,3.889,-63.9176
55,-58.838,1.706,-57.132
56,-61.8533,1.7706,-60.082699999999996
57,-58.8393,1.485,-57.3543
58,-57.9177,0.9945,-56.9232
59,-59.2447,1.86,-57.3847
60,-56.8497,0.9857,-55.864
61,-64.4093,2.8932,-61.5161
62,-68.1798,4.2101,-63.9697
63,-65.2828,3.26,-62.0228
64,-65.4415,2.7271,-62.714400000000005
65,-66.01,3.4809,-62.52910000000001
66,-66.0995,3.0787,-63.02080000000001
67,-57.403,1.7974,-55.605599999999995
68,-60.5511,1.4544,-59.0967
69,-63.7085,2.7066,-61.0019
70,-54.817,0.5286,-54.2884
71,-57.319,0.7981,-56.520900000000005
72,-68.6541,4.7424,-63.911699999999996
73,-57.4847,0.7157,-56.769
74,-62.2471,1.9181,-60.329
75,-58.9411,1.8425,-57.0986
76,-65.842,2.4403,-63.4017
77,-60.2379,1.4871,-58.750800000000005
78,-62.7545,2.7529,-60.0016
79,-63.4857,2.5879,-60.897800000000004
80,-51.1354,0.5991,-50.5363
81,-62.4928,2.1537,-60.3391
82,-64.2052,2.8435,-61.361700000000006
83,-54.8579,0.595,-54.2629
84,-64.1993,2.464,-61.735299999999995
85,-64.4525,3.6464,-60.8061
86,-60.5974,1.8285,-58.7689
87,-51.6307,0.2584,-51.372299999999996
88,-63.0977,1.6185,-61.479200000000006
89,-58.424,0.9208,-57.5032
90,-65.6753,2.8628,-62.81249999999999
91,-63.3982,2.1599,-61.2383
92,-63.2415,1.9745,-61.267
93,-61.4459,1.9058,-59.5401
94,-60.4411,1.931,-58.5101
95,-63.5626,2.6539,-60.9087
96,-55.0126,0.9681,-54.0445
97,-64.082,2.7368,-61.34519999999999
98,-57.9938,1.41,-56.583800000000004
99,-61.5521,1.6194,-59.932700000000004
100,-57.96,1.4146,-56.5454
101,-68.7244,3.6897,-65.0347
102,-66.3911,3.9809,-62.410199999999996
103,-66.8352,2.6485,-64.1867
104,-57.6478,0.6952,-56.9526
105,-64.5658,2.2419,-62.323899999999995
106,-57.1051,1.0922,-56.0129
107,-63.7325,1.7848,-61.947700000000005
108,-59.1722,1.6781,-57.494099999999996
109,-59.6101,1.0737,-58.5364
110,-62.8865,2.1469,-60.739599999999996
111,-60.1293,1.8311,-58.2982
112,-61.8333,1.4699,-60.3634
113,-58.8085,1.5119,-57.296600000000005
114,-56.0687,0.7729,-55.2958
115,-62.2265,2.1324,-60.094100000000005
116,-56.0173,1.0284,-54.9889
117,-64.169,2.1322,-62.0368
118,-59.9112,1.6332,-58.278
119,-57.5258,0.7473,-56.778499999999994
120,-67.7615,3.6248,-64.1367
121,-63.0653,2.1221,-60.9432
122,-61.6085,2.1849,-59.4236
123,-58.2138,1.5627,-56.6511
124,-62.7569,1.7463,-61.010600000000004
125,-54.556,0.6236,-53.932399999999994
126,-63.2382,2.1983,-61.039899999999996
127,-62.3362,1.8735,-60.4627
128,-64.5236,2.345,-62.1786
129,-56.7454,1.1161,-55.62929999999999
130,-63.9042,2.5121,-61.3921
131,-64.8618,2.9239,-61.9379
132,-68.0655,3.4687,-64.5968
133,-62.2093,2.9311,-59.2782
134,-61.2086,2.0287,-59.179899999999996
135,-54.0084,0.4994,-53.509
136,-56.9595,0.9926,-55.966899999999995
137,-60.0339,1.461,-58.572900000000004
138,-57.2511,0.8875,-56.3636
139,-60.9958,1.338,-59.6578
140,-68.2577,4.7786,-63.4791
141,-66.6474,3.3884,-63.25900000000001
142,-60.4108,1.5374,-58.873400000000004
143,-61.7754,2.2581,-59.5173
144,-56.5273,1.0036,-55.5237
145,-59.6281,1.4729,-58.1552
146,-59.7707,1.0991,-58.6716
147,-60.8636,1.6488,-59.2148
148,-56.0191,1.0219,-54.9972
149,-62.7515,2.7871,-59.9644
150,-61.7421,1.3007,-60.4414
151,-57.7287,1.0589,-56.6698
152,-63.2164,1.8647,-61.3517
153,-63.6569,3.4397,-60.2172
154,-60.2819,1.3424,-58.9395
155,-61.2596,2.3757,-58.8839
156,-62.1163,1.7225,-60.393800000000006
157,-60.004,1.6438,-58.3602
158,-63.57,2.294,-61.276
159,-64.2984,2.8927,-61.4057
160,-63.5192,2.3127,-61.2065
161,-58.3471,1.6189,-56.7282
162,-66.1663,2.6198,-63.54650000000001
163,-64.2853,3.2284,-61.056900000000006
164,-64.4154,2.9773,-61.438100000000006
165,-63.0046,1.5002,-61.504400000000004
166,-59.7129,1.8542,-57.8587
167,-60.9505,1.7771,-59.1734
168,-54.5475,0.5431,-54.0044
169,-67.1022,4.9373,-62.164899999999996
170,-65.9014,3.2046,-62.696799999999996
171,-59.7789,1.4689,-58.31
172,-65.3773,3.7411,-61.6362
173,-62.4841,1.749,-60.735099999999996
174,-63.4218,2.1777,-61.244099999999996
175,-66.5369,2.5064,-64.0305
176,-65.4058,2.0798,-63.326
177,-68.1287,5.0731,-63.0556
178,-62.2072,1.881,-60.3262
179,-57.8115,1.0834,-56.728100000000005
180,-58.6524,1.8701,-56.7823
181,-58.0082,1.4853,-56.5229
182,-56.103,0.5876,-55.5154
183,-63.1399,2.5003,-60.639599999999994
184,-56.2974,0.7763,-55.521100000000004
185,-67.7235,3.5184,-64.2051
186,-60.0989,0.8661,-59.2328
187,-64.1514,1.5107,-62.640699999999995
188,-56.4169,1.0306,-55.3863
189,-62.4338,2.3975,-60.0363
190,-60.8486,1.2874,-59.5612
191,-58.8042,1.0579,-57.746300000000005
192,-70.5334,5.489,-65.0444
193,-65.0538,3.1516,-61.90219999999999
194,-65.301,2.9231,-62.377900000000004
195,-63.7859,3.038,-60.7479
196,-62.9047,2.1797,-60.725
197,-60.7426,2.582,-58.1606
198,-62.453,2.0863,-60.3667
199,-62.1599,2.0276,-60.1323
200,-58.1173,1.2683,-56.849000000000004
201,-63.7854,1.8589,-61.926500000000004
202,-67.6498,4.2671,-63.3827
203,-66.4062,2.2295,-64.1767
204,-63.9259,2.3842,-61.5417
205,-56.1272,0.8146,-55.3126
206,-62.1009,2.0927,-60.0082
207,-56.0061,0.7728,-55.23330000000001
208,-59.86,2.4305,-57.4295
209,-65.7408,2.9099,-62.83089999999999
210,-56.3055,1.1562,-55.149300000000004
211,-57.3215,1.1289,-56.1926
212,-68.5549,4.1024,-64.4525
213,-59.682,1.258,-58.424
214,-65.7359,3.6136,-62.1223
215,-52.6934,0.7293,-51.964099999999995
216,-58.9518,1.6724,-57.279399999999995
217,-68.8574,3.5146,-65.3428
218,-60.4022,1.6557,-58.7465
219,-63.7491,2.1544,-61.594699999999996
220,-63.2775,2.1066,-61.1709
221,-70.5334,4.8893,-65.6441
222,-66.7286,2.7031,-64.0255
223,-63.977,2.5555,-61.421499999999995
224,-64.205,2.8441,-61.3609
225,-56.8679,1.2853,-55.5826
226,-66.0329,4.4918,-61.5411
227,-60.7747,2.0062,-58.7685
228,-64.0255,3.2326,-60.792899999999996
229,-67.28,4.1263,-63.1537
230,-64.6133,2.7504,-61.862899999999996
231,-65.4741,3.1067,-62.3674
232,-64.8688,3.3692,-61.499599999999994
233,-65.6104,3.3177,-62.292699999999996
234,-61.4182,3.3237,-58.0945
235,-60.0341,1.5579,-58.476200000000006
236,-60.9539,1.9883,-58.965599999999995
