Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,17.5212,-0.3174,17.2038
2,14.9498,-0.2845,14.6653
3,19.7054,-0.3109,19.3945
4,17.7034,-0.3344,17.369
5,21.1576,-0.4246,20.732999999999997
6,17.9985,-0.2731,17.7254
7,13.7303,-0.2199,13.510399999999999
8,18.7554,-0.5371,18.218300000000003
9,18.6902,-0.3697,18.3205
10,20.8907,-0.4567,20.433999999999997
11,21.4534,-0.4051,21.048299999999998
12,22.3409,-0.5218,21.819100000000002
13,20.0164,-0.5475,19.4689
14,20.8202,-0.4419,20.3783
15,19.9839,-0.4514,19.5325
16,20.6499,-0.3951,20.2548
17,26.0874,-0.6169,25.470499999999998
18,22.0902,-0.6262,21.464
19,19.5657,-0.4297,19.136
20,20.5014,-0.4738,20.0276
21,18.6035,-0.3372,18.2663
22,18.0767,-0.3838,17.692899999999998
23,22.4392,-0.5644,21.8748
24,16.8436,-0.3483,16.4953
25,19.4993,-0.5393,18.96
26,20.2883,-0.5307,19.7576
27,19.1526,-0.4243,18.7283
28,20.884,-0.4437,20.4403
29,18.7279,-0.3422,18.385700000000003
30,22.3275,-0.5651,21.7624
31,20.2887,-0.5735,19.7152
32,20.1619,-0.4779,19.683999999999997
33,21.4169,-0.571,20.845899999999997
34,22.5407,-0.6319,21.9088
35,21.3119,-0.6074,20.704500000000003
36,23.0155,-0.5781,22.4374
37,20.0132,-0.5034,19.509800000000002
38,20.4559,-0.4759,19.98
39,20.265,-0.5849,19.6801
40,20.8599,-0.3635,20.4964
41,23.3074,-0.5769,22.730500000000003
42,19.7996,-0.4353,19.3643
43,19.1302,-0.4785,18.651699999999998
44,23.5759,-0.5756,23.0003
45,21.7852,-0.7116,21.0736
46,16.8025,-0.3919,16.4106
47,22.2095,-0.432,21.7775
48,24.8142,-0.6414,24.1728
49,20.0323,-0.5227,19.5096
50,23.2713,-0.6437,22.6276
51,22.4011,-0.3989,22.0022
52,13.9839,-0.2081,13.7758
53,15.9147,-0.3329,15.5818
54,20.787,-0.4819,20.3051
55,21.4791,-0.5244,20.9547
56,19.4445,-0.4449,18.9996
57,25.7767,-0.595,25.181700000000003
58,22.7201,-0.4911,22.229
59,23.5702,-0.6476,22.9226
60,21.4042,-0.5804,20.8238
61,23.6718,-0.4546,23.217200000000002
62,18.2956,-0.4597,17.8359
63,21.9143,-0.6151,21.2992
64,20.577,-0.5581,20.018900000000002
65,20.2407,-0.5282,19.7125
66,22.4594,-0.5443,21.9151
67,25.7679,-0.5979,25.17
68,21.3218,-0.443,20.8788
69,25.1331,-0.6584,24.4747
70,23.8524,-0.466,23.3864
71,18.71,-0.55,18.16
72,21.6267,-0.6126,21.0141
73,25.6759,-0.6986,24.9773
74,23.9683,-0.6669,23.3014
75,18.8652,-0.4678,18.3974
76,21.5012,-0.549,20.9522
77,21.1705,-0.6657,20.5048
78,22.0175,-0.6034,21.414099999999998
79,22.4602,-0.6221,21.8381
80,19.1983,-0.4664,18.7319
81,24.0951,-0.5622,23.532899999999998
82,23.1052,-0.5502,22.555
83,23.4119,-0.5844,22.8275
84,23.139,-0.4684,22.6706
85,21.7106,-0.5048,21.2058
86,22.7714,-0.6141,22.1573
87,26.5323,-0.7459,25.7864
88,22.373,-0.5585,21.814500000000002
89,22.6342,-0.5725,22.0617
90,19.9579,-0.5729,19.384999999999998
91,19.5051,-0.3876,19.1175
92,13.3948,-0.2552,13.1396
93,16.7621,-0.3384,16.4237
94,15.3263,-0.3329,14.9934
95,11.8466,-0.2845,11.562100000000001
96,10.6827,-0.2487,10.434000000000001
97,19.8901,-0.5559,19.3342
98,13.3824,-0.303,13.0794
99,14.262,-0.4219,13.8401
